,Actors 1,Actors 2,Actors 3,Actors 4,Actors 5,Actors 6,Actors 7,Budget,Dialogue,Director,Directors,First Day,First Week,First Weekend,Genre,India Gross,Lyrics,Music,Overseas Gross,Producer,Production Banner,Release Date,Runtime,Screenplay,Screens,Story,Title,Worldwide Gross
52,Amitabh Bachchan,Hema Malini,Sonu Sood,Sonal Chauhan,Prakash Raj,Shawar Ali,Makarand Deshpande,"21,00,00,000",Puri Jagannadh,Puri Jagannadh,,"1,91,00,000","11,48,00,000","7,26,00,000",Action,"20,61,00,000",Anvita Dutt,Vishal - Shekhar,"$880,000",Puri Jagannadh,AB Corp Ltd.,01-Jul-11,117 min,Puri Jagannadh,1000,"Rishi Virmani,Vipul Binjola,Ajay Kumar,Inaamulhaq",Bbuddah Hoga Terra Baap,"24,52,60,000"
53,John Abraham,Genelia D'Souza,Raj Babbar,Mohnish Bahl,Mukesh Rishi,Vidyut Jammwal,Sandhya Mridul,"28,00,00,000",Ritesh Shah,Nishikant Kamat,,"4,53,00,000","20,99,00,000","13,79,00,000",Action,"34,72,00,000",Javed Akhtar,Harris Jayraj,"$880,000",Vipul Amrutlal Shah,Fox Star Studio India Pvt. Ltd.,30-Sep-11,137 min,Gautham Menon,1450,Ritesh Shah,Force,"39,03,20,000"
54,Ranveer Singh,Anushka Sharma,Parineeti Chopra,Dipannita Sharma,Aditi Sharma,Shireesh Sharma,Avijit Dutt,"20,00,00,000","Habib Faisal,Devika Bhagat",Maneesh Sharma,,"4,53,00,000","22,75,00,000","15,32,00,000",Drama,"41,48,00,000",Amitabh Bhattacharya,Salim - Sulaiman,"$1,520,000",Aditya Chopra,Yash Raj Films,09-Dec-11,129 min,Aditya Chopra,1150,Habib Faisal,Ladies vs Ricky Bahl,"49,49,80,000"
55,Vinay Pathak,Lara Datta,Gaurav Gera,Pankaj Jha,Brijendra Kala,Rahul Singh,Dadhey Raj Pandey,"9,50,00,000",Arshad Syed,Shashant Shah,,"1,08,00,000","5,97,00,000","3,75,00,000",Comedy,"13,23,00,000","Manthan,Shabbir Ahmed,Krishika Lulla,Anand Raj Anand","Rohit Kulkarni,Anand Raj Anand,Sachin Gupta","$290,000","Lara Datta,Krishika Lulla,Kavita Bhupathi Chadda",Bheegi Basanti Entertainment,29-Apr-11,133 min,Arshad Syed,725,Arshad Syed,Chalo Dilli,"14,51,32,500"
56,Kartik Tiwari,Divyendu Sharma,Rayo Bakhirta,Nushrat Bharucha,Sonalli Sehgal,Ishita Sharma,,"9,75,00,000",Luv Ranjan,Luv Ranjan,,"94,00,000","5,44,00,000","3,23,00,000",Rom - Com,"17,03,00,000",Luv Ranjan,"Clinton Cerejo,Luv Ranjan,Hitesh Sonik",$---,Abhishek Pathak,Viacom 18 Motion Pictures,20-May-11,150 min,Luv Ranjan,550,Luv Ranjan,Pyaar Ka Punchnama,"17,03,00,000"
57,Irrfan Khan,Chitrangda Singh,Arunoday Singh,Aditi Rao Hydari,Saurabh Shukla,Sushant Singh,Yashpal Sharma,"11,00,00,000",Sudhir Mishra,Sudhir Mishra,,"1,21,00,000","6,92,00,000","4,12,00,000",Thriller,"14,81,00,000","Swanand Kirkire,Manvendra",Nishat Khan,$---,"Cine Raas Productions,Mystic Movies",Cine Raas Entertainment Pvt. Ltd.,04-Feb-11,121 min,Sudhir Mishra,650,"Sudhir Mishra,Manu Rishi Chadha",Yeh Saali Zindagi,"14,81,00,000"
58,Om Puri,Deepak Dobriyal,Shreyas Talpade,Ragini Khanna,Yograj Singh,,,"11,00,00,000","Mehul Suri,Gautam Mehra",Mrighdeep Singh Lamba,,"40,00,000","2,36,00,000","1,68,00,000",Comedy,"3,37,00,000",Gulzar,"Sukhwinder Singh,Ranjit Barot",$---,Rakesh Omprakash Mehra,PVR Pictures,15-Apr-11,123 min,"Mehul Suri,Gautam Mehra",500,"Mehul Suri,Mrighdeep Singh Lamba,Gautam Mehra",Teen Thay Bhai,"3,37,00,000"
59,Sendhil Ramamurthy,Tusshar Kapoor,Nikhil Dwivedi,Preeti Desai,Pitobash,Radhika Apte,Zakir Hussain,"7,50,00,000","Raj Nidimoru,Sita Menon,Krishna D.K","Krishna D.K,Raj Nidimoru",,"54,00,000","3,44,00,000","2,17,00,000",Drama,"5,92,00,000","Priya Panchal,Sameer",Sachin - Jigar,$---,"Ekta Kapoor,Shobha Kapoor",ALT Entertainment,29-Apr-11,118 min,"Raj Nidimoru,Krishna D.K,Sita Menon",500,"Chintan Gandhi,Sita Menon",Shor In The City,"5,92,00,000"
60,Shraddha Kapoor,Taaha Shah,Shenaz Treasurywala,Archana Puran Singh,Mahabanoo Mody,Bumpy,,"8,50,00,000","Shenaz Treasurywala,Roye Seagal",Bumpy,,"68,00,000","4,22,00,000","2,54,00,000",Drama,"7,92,00,000",Amitabh Bhattacharya,Ram Sampath,$---,Ashish Patil,Y Films,06-May-11,117 min,Ashish Patil,450,"Shenaz Treasurywala,Roye Seagal,Nikhal Vyas",Luv Ka The End,"7,92,00,000"
61,Rajkummar Rao,Kainaz Motivala,Janice,Rajat,,,,"6,00,00,000","Pawan Kirpalani,Vaspar Dandiwala",Pawan Kirpalani,,"1,50,00,000","7,81,00,000","5,22,00,000",Horror,"14,68,00,000","Agnel Roman,Faizan Hussain,Virag Mishra","Agnel Roman,Faizan Hussain",$---,"Ekta Kapoor,Shobha Kapoor",ALT Entertainment,13-May-11,97 min,Pawan Kirpalani,650,Mayank Tewari,Ragini MMS,"14,68,00,000"
62,Tusshar Kapoor,Amrita Rao,Ram Kapoor,Madhoo,Prem Chopra,Kiran Kumar,Yatin Karyekar,"12,00,00,000",S. Manasvi,S. Manasvi,,"23,00,000","1,22,00,000","86,00,000",Love Story,"2,09,00,000",Manoj Muntashir,Sandesh Shandilya,"$80,000","Ajit Kumar Barjatya,Kamal Kumar Barjatya,Rajkumar Barjatya",Rajshri Productions Pvt. Ltd.,13-May-11,152 min,S. Manasvi,325,S. Manasvi,Love U...Mr. Kalakaar!,"2,45,00,000"
63,Nana Patekar,Mohit Ahlawat,Rimi Sen,Anurag Kashyap,Zakir Hussain,Vishwajeet Pradhan,Khan Jahangir Khan,"12,00,00,000","Tigmanshu Dhulia,Kamal Pandey",Tigmanshu Dhulia,,"31,00,000","1,83,00,000","1,07,00,000",Drama,"2,59,00,000",,Abhishek Ray,$---,Hussain Shaikh,Faizee Productions,13-May-11,143 min,"Tigmanshu Dhulia,Tigmanshu Dhulia",450,"Tigmanshu Dhulia,Kamal Pandey",Shagird,"2,59,00,000"
64,Salman Khan,Sonakshi Sinha,Vinod Khanna,Dimple Kapadia,Arbaaz Khan,Mahie Gill,Sonu Sood,"41,00,00,000","Dilip Shukla,Abhinav Kashyap",Abhinav Kashyap,,"14,55,00,000","81,64,00,000","48,94,00,000",Action,"1,93,37,00,000","Faiz Anwar,Lalit Pandit,Jalees Sherwani","Sajid - Wajid,Lalit Pandit","$5,600,000","Maliaka Arora,Arbaaz Khan,Dillion Mehta",Arbaaz Khan Production Pvt. Ltd.,10-Sep-10,125 min,"Dilip Shukla,Abhinav Kashyap",1900,"Abhinav Kashyap,Dilip Shukla",Dabangg,"2,19,27,00,000"
65,Raj Zutshi,Partho A. Gupte,Amol Gupte,Numaan Sheikh,,,Rahul Singh,"4,50,00,000",Amol Gupte,Amol Gupte,,"25,00,000","2,60,00,000","1,46,00,000",Drama,"7,63,00,000",Amol Gupte,Hitesh Sonik,$---,Amol Gupte,Amole Gupte Cinema Pvt. Ltd.,13-May-11,137 min,Amol Gupte,250,Amol Gupte,Stanley Ka Dabba,"7,63,00,000"
66,Rahul Bose,Shefali Shah,Sumeet Raghavan,Om Puri,Neetu Chandra,Manmeet Singh,Kunal Kumar,"10,00,00,000",Barnali Ray Shukla,Barnali Ray Shukla,,"48,00,000","2,70,00,000","1,78,00,000",Drama,"3,75,00,000",Irshad Kamil,Pritam,$---,Vipul Amrutlal Shah,Sunshine Pictures Ltd.,27-May-11,105 min,Barnali Ray Shukla,400,Barnali Ray Shukla,Kucch Luv Jaisa,"3,75,00,000"
67,Rajeev Khandelwal,Kalki Koechlin,Gulshan Devaiya,Shiv Pandit,Neil Bhoopalam,Kirti Kulhari,Rajkummar Rao,"12,00,00,000","Bejoy Nambiar,Megha Ramaswamy",Bejoy Nambiar,,"80,00,000","5,26,00,000","3,38,00,000",Thriller,"11,25,00,000","K.S. Krishnan,Colin Terrence",Ranjit Barot,$---,"Anurag Kashyap,Guneet Monga,Sunil Bohra",Getaway Films,10-Jun-11,128 min,"Megha Ramaswamy,Bejoy Nambiar",575,Abhijeet Deshpande,Shaitan,"11,25,00,000"
68,Sanjay Dutt,Ameesha Patel,Anupam Kher,Satish Kaushik,Shakti Kapoor,Suresh Menon,Rati Agnihotri,"23,00,00,000",Rumi Jaffery,Ajay Chandhok,,"48,00,000","2,17,00,000","1,51,00,000",Comedy,"3,17,00,000","Jalees Sherwani,Shabbir Ahmed,Asharali Baig,Junaid Wasi",Sajid - Wajid,$---,Mohammad Aslam,Lotus Motion Pictures,19-Aug-11,111 min,"Rumi Jaffery,Sai Kabir",700,Sai Kabir,Chatur Singh Two Star,"3,17,00,000"
69,Naman Jain,Sanath Menon,Rohan Grover,Chinmai Chandranshuh,Vishesh Tiwari,Irrfan Khan,Shreya Sharma,"5,75,00,000",Vijay Maurya,"Nitish Tiwari,Vikas Bahl",,"53,00,000","3,51,00,000","2,27,00,000",Drama,"5,54,00,000","Amitabh Bhattacharya,Nitish Tiwari,Vikas Bahl",Amit Trivedi,"$7,500","Salman Khan,Ronnie Screwvala",SKBH Productions,08-Jul-11,131 min,"Vikas Bahl,Nitish Tiwari",325,"Vikas Bahl,Nitish Tiwari,Vijay Maurya",Chillar Party,"5,57,33,750"
70,Mahie Gill,Deepak Dobriyal,Zakir Hussain,Darshan Jariwala,Neil Bhoopalam,,Ajay Gehi,"7,50,00,000",Rohit G. Banawlikar,Ram Gopal Verma,,--,"3,75,00,000",--,Thriller,"5,67,00,000",Shabbir Ahmed,Sandeep Chowta,$---,"Sailesh R. Singh,Sunil Bohra,Kiran Kumar Koneru",Bohra Bros,19-Aug-11,146 min,Rohit G. Banawlikar,525,Rohit G. Banawlikar,Not A Love Story,"5,67,00,000"
71,Arjun Kapoor,Parineeti Chopra,Gauhar Khan,,,,,"19,00,00,000",Habib Faisal,Habib Faisal,,"4,49,00,000","25,61,00,000","15,54,00,000",Love Story,"63,05,00,000",Habib Faisal,Amit Trivedi,$---,Aditya Chopra,Yash Raj Films,11-May-12,133 min,"Habib Faisal,Aditya Chopra",1100,Habib Faisal,Ishaqzaade,"63,05,00,000"
72,Karisma Kapoor,Rajneesh Duggal,Jimmy Shergill,Divya Dutta,Ruslan Mumtaz,Gracy Singh,Ravi Kissen,"26,00,00,000",Amin Hajee,Vikram Bhatt,,"1,12,00,000","5,50,00,000","3,81,00,000",Thriller,"7,77,00,000","Shabbir Ahmed,Sameer",Himesh Reshammiya,"$170,000",Arun Rangachari,BVG Films,11-May-12,129 min,Amin Hajee,1050,Girish Dhamija,Dangerous Ishhq,"8,68,80,000"
73,Sanjay Dutt,Anil Kapoor,Suneil Shetty,Akshaye Khanna,Sushmita Sen,Kangana Ranaut,Paresh Rawal,"40,00,00,000","Rajan Aggarwal,Anees Bazmee,Rajeev Kaul,Ikram Akhtar",Anees Bazmee,,"4,21,00,000","20,98,00,000","1,41,80,000",Comedy,"38,73,00,000","Shabbir Ahmed,Anand Raj Anand,Kumaar","Pritam,Anand Raj Anand,Sajid - Wajid","$1,410,000","Anil Kapoor,B.K. Modi,Rajat Rawail,Sunil Lulla",Anil Kapoor Films Company,10-Dec-10,143 min,Anees Bazmee,1350,"Anees Bazmee,Ikram Akhtar,Rajeev Kaul",No Problem,"45,07,50,000"
74,Ranveer Singh,Anushka Sharma,Manish Chaudhary,Neeraj Sood,Manmeet Singh,Nirupama Chopra,Manu Rishi Chadha,"15,00,00,000",Habib Faisal,Maneesh Sharma,,"95,00,000","8,28,00,000","4,85,00,000",Rom - Com,"31,50,00,000",Amitabh Bhattacharya,Salim - Sulaiman,"$400,000",Aditya Chopra,Yash Raj Films,10-Dec-10,137 min,Maneesh Sharma,675,Habib Faisal,Band Baaja Baaraat,"33,30,00,000"
75,Akshay Kumar,Katrina Kaif,Akshaye Khanna,Arya Babbar,Dharampal,Vijay Maurya,Ali Asghar,"45,00,00,000","Shirish Kunder,Ashmit Kunder",Farah Khan,,"12,68,00,000","48,75,00,000","36,49,00,000",Comedy,"82,41,00,000","Anvita Dutt,Vishal Daldani,Shirish Kunder",Vishal - Shekhar,"$3,780,000","Ronnie Screwvala,Shirish Kunder,Twinkle Khanna",Hari Om Entertainment,24-Dec-10,136 min,Shirish Kunder,2200,"Shirish Kunder,Ashmit Kunder",Tees Maar Khan,"99,51,45,000"
76,Sharmila Tagore,Imran Khan,Deepika Padukone,Shahana Goswami,Navin Nischol,Lillete Dubey,,"22,00,00,000",Renuka Kunzru,Danish Aslam,,"2,80,00,000","14,20,00,000","9,67,00,000",Rom - Com,"22,95,00,000","Vishal Daldani,Prasoon Joshi",Vishal - Shekhar,"$1,200,000",Kunal Kohli,Kunal Kohli Productions,26-Nov-10,112 min,Danish Aslam,875,Renuka Kunzru,Break Ke Baad,"28,41,00,000"
77,Hrithik Roshan,Aishwarya Rai,Aditya Roy Kapoor,Nafisa Ali,Shernaz Patel,Monikangana Dutta,Ranjit Kapoor,"74,00,00,000","Bhavani Iyer,Sanjay Leela Bhansali",Sanjay Leela Bhansali,,"3,82,00,000","21,54,00,000","13,78,00,000",Drama,"40,38,00,000","A.M. Turaz,Vibhu Puri",Sanjay Leela Bhansali,"$3,190,000","Ronnie Screwvala,Sanjay Leela Bhansali",Sanjay Leela Bhansali Films,19-Nov-10,126 min,,1300,"Bhavani Iyer,Vibhu Puri",Guzaarish,"54,89,45,000"
78,Akshay Kumar,Aishwarya Rai,Randhir Kapoor,Neha Dhupia,Aditya Roy Kapoor,Rannvijay Singh,Om Puri,"51,00,00,000","Suresh Nair,Vipul Amrutlal Shah,Aatish Kapadia",Vipul Amrutlal Shah,,"2,82,00,000","22,51,00,000","14,87,00,000",Comedy,"38,44,00,000",Irshad Kamil,Pritam,"$1,775,000","Vipul Amrutlal Shah,Twinkle Khanna",Blockbuster Movie Entertainers,05-Nov-10,129 min,"Aatish Kapadia,Suresh Nair",1500,"Aatish Kapadia,Ritesh Shah",Action Replayy,"46,29,43,750"
79,Ranbir Kapoor,Priyanka Chopra,Tanvi Azmi,Sucheta Khanna,,Joy Sengupta,,"40,00,00,000","Advaita Kala,Siddharth Anand",Siddharth Anand,,"6,43,00,000","32,07,00,000","22,53,00,000",Rom - Com,"54,47,00,000","Shekhar Ravjiani,Irshad Kamil,Kausar Munir,Caralisa Monteiro,Amitabh Bhattacharya,Neelish Misra,Kumaar,Anvita Dutt,Vishal Daldani",Vishal - Shekhar,"$3,150,000",Sajid Nadiadwala,Eros International,01-Oct-10,152 min,Mamta Anand,1250,Siddharth Anand,Anjaana Anjaani,"68,48,75,000"
80,Kajol,Kareena Kapoor,Arjun Rampal,Aanchal Munjal,Nominath Ginsberg,Diya Sonecha,,"30,00,00,000","Venita Coelho,Jessie Nelson",Siddharth Malhotra,,"3,11,00,000","18,15,00,000","10,42,00,000",Drama,"29,68,00,000","Anvita Dutt,Irshad Kamil",Shankar - Ehsaan - Loy,"$2,660,000","Karan Johar,Hiroo Johar",Dharma Productions Pvt. Ltd.,02-Sep-10,117 min,Gigi Levangie,900,Niranjan Iyengar,We Are Family,"42,04,90,000"
81,Neil Nitin Mukesh,Deepika Padukone,Manish Chaudhary,Kay Kay Menon,Vijay Adhav,,Vinay Sharma,"19,00,00,000",Gopi Puthran,Pradeep Sarkar,,"3,31,00,000","17,01,00,000","11,45,00,000",Drama,"30,59,00,000",Swanand Kirkire,R. Anandh,"$300,000",Aditya Chopra,Yash Raj Films,20-Aug-10,155 min,Gopi Puthran,950,Gopi Puthran,Lafangey Parindey,"31,99,25,000"
82,Omkar Das Manikpuri,Raghuvir Yadav,Omkar Das Manikpuri,Raghuvir Yadav,Shalini Vatsa,Farrukh Jaffar,Naseeruddin Shah,"14,00,00,000",Anusha Rizvi,Anusha Rizvi,,"4,11,00,000","21,09,00,000","14,38,00,000",Drama,"39,84,00,000","Sanjeev Sharma,Gangaram Sakhet,Swanand Kirkire",Ram Sampath,"$1,500,000","Aamir Khan,Kiran Rao",Aamir Khan Productions,13-Aug-10,95 min,Anusha Rizvi,825,Anusha Rizvi,Peepli [Live],"46,85,25,000"
83,Abhay Deol,Sonam Kapoor,Arunoday Singh,Amrita Puri,Lisa Haydon,Anuradha Patel,Yuri Suri,"18,00,00,000",Devika Bhagat,Rajshree Ojha,,"2,62,00,000","12,64,00,000","8,73,00,000",Rom - Com,"21,41,00,000",Javed Akhtar,Amit Trivedi,"$890,000","Anil Kapoor,Sanjeev K. Bijli,Rhea Kapoor,Ajay Bijli",Anil Kapoor Films Company,06-Aug-10,131 min,,625,"Devika Bhagat,Manu Rishi Chadha,Ritu Bhatia",Aisha,"25,52,62,500"
84,Ajay Devgn,Emraan Hashmi,Kangana Ranaut,Prachi Desai,Randeep Hooda,Gauhar Khan,,"35,00,00,000",Rajat Arora,Milan Luthria,,"5,88,00,000","34,56,00,000","21,53,00,000",Drama,"80,21,00,000","Amitabh Bhattacharya,Neelish Misra",Pritam,"$1,080,000","Ekta Kapoor,Shobha Kapoor",Balaji Motion Pictures,30-Jul-10,133 min,Rajat Arora,1400,Rajat Arora,Once Upon A Time In Mumbaai,"85,17,80,000"
85,Akshay Kumar,Trisha Krishnan,Kulbhushan Kharbanda,Aruna Irani,Milind Gunaji,Johny Lever,Rajpal Yadav,"35,00,00,000",Priyadarshan,Priyadarshan,,"6,86,00,000","32,13,00,000","22,87,00,000",Comedy,"53,58,00,000","Shezad Roy,Irshad Kamil,Nitin Raikwar",Pritam,"$1,960,000",,Cape Of Good Films Pvt. Ltd.,23-Jul-10,155 min,Priyadarshan,1450,Jay Master,Khatta Meetha,"62,79,20,000"
86,Imran Khan,Sonam Kapoor,Sameer Dattani,Samir Soni,Anju Mahendra,Kavin Dave,Bruna Abdullah,"23,00,00,000",Punit Malhotra,Punit Malhotra,,"6,77,00,000","31,78,00,000","22,71,00,000",Love Story,"59,55,00,000","Kumaar,Anvita Dutt,Vishal Daldani",Vishal - Shekhar,"$3,090,000","Karan Johar,Hiroo Johar,Ronnie Screwvala",Dharma Productions Pvt. Ltd.,02-Jul-10,133 min,Punit Malhotra,1050,Punit Malhotra,I Hate Luv Storys,"73,99,57,500"
87,Abhishek Bachchan,Aishwarya Rai,Govinda,Vikram,Ravi Kissen,Nikhil Dwivedi,Priyamani,"55,00,00,000",Mani Ratnam,Mani Ratnam,,"5,81,00,000","24,21,00,000","16,97,00,000",Action,"39,37,00,000",Gulzar,A.R. Rehman,"$2,230,000",Mani Ratnam,Madras Talkies,18-Jun-10,141 min,Mani Ratnam,1350,Vijay Krishna Acharya,Raavan,"49,57,22,500"
88,Nana Patekar,Ajay Devgn,Ranbir Kapoor,Katrina Kaif,Manoj Bajpai,Arjun Rampal,Darshan Jariwala,"61,00,00,000","Prakash Jha,Anjum Rajabali",Prakash Jha,,"10,33,00,000","53,77,00,000","33,42,00,000",Thriller,"1,25,67,00,000","Gulzar,Sameer,Swanand Kirkire,Irshad Kamil","Pritam,Shantanu Moitra,Aadesh Shrivastava,Wayne Sharpe","$4,220,000",Prakash Jha,Prakash Jha Productions,04-Jun-10,167 min,Prakash Jha,1750,Anjum Rajabali,Raajneeti,"1,45,50,40,000"
89,Hrithik Roshan,Barbara Mori,Kangana Ranaut,Kabir Bedi,Nicholas Brown,Yuri Suri,Madhuri Bhatia,"82,00,00,000","Anurag Basu,Akarsh Khurana,Robin Bhatt",Anurag Basu,,"10,08,00,000","37,58,00,000","27,52,00,000",Thriller,"65,37,00,000","Nasir Faraz,Asif Ali Beg",Rajesh Roshan,"$4,460,000",Rakesh Roshan,Filmkraft Pvt. Ltd.,20-May-10,126 min,Rakesh Roshan,1800,Sanjeev Dutta,Kites,"86,33,20,000"
90,Shahid Kapoor,Anushka Sharma,Meiyang Chang,Vir Das,Anupam Kher,Pawan Malhotra,Kiran Juneja,"29,00,00,000",Parmeet Sethi,Parmeet Sethi,,"3,62,00,000","19,12,00,000","12,28,00,000",Drama,"44,77,00,000",Anvita Dutt,Pritam,"$820,000",Aditya Chopra,Yash Raj Films,07-May-10,145 min,Parmeet Sethi,1100,Parmeet Sethi,Badmaash Company,"48,46,00,000"
91,Akshay Kumar,Riteish Deshmukh,Arjun Rampal,Deepika Padukone,Lara Datta,Jiah Khan,Boman Irani,"47,00,00,000","Milap Zaveri,Vibha Singh,Sajid Khan",Sajid Khan,,"9,32,00,000","47,35,00,000","30,97,00,000",Comedy,"98,37,00,000","Amitabh Bhattacharya,Sameer",Shankar - Ehsaan - Loy,"$4,030,000",Sajid Nadiadwala,Eros International,30-Apr-10,156 min,Sajid Nadiadwala,1700,Anvita Dutt,Housefull,"1,16,30,35,000"
92,Vivek Oberoi,Nandana Sen,Neeru Bajwa,Aruna Shields,Sanjay Kapoor,Dalip Tahil,Isaiah,"37,00,00,000",Shiraz Ahmed,Kookie V. Gulati,,"3,48,00,000","15,07,00,000","10,41,00,000",Thriller,"26,05,00,000",Sameer,Sachin Gupta,"$650,000",Kumar S. Taurani,Tips Industries Pvt. Ltd.,09-Apr-10,139 min,Shiraz Ahmed,1200,Mayur Puri,Prince,"28,94,25,000"
93,Ajay Devgn,Konkona Sen Sharma,Paresh Rawal,Satish Kaushik,Sanjay Mishra,Akhilendra Mishra,Mukesh Tiwari,"22,00,00,000","Robin Bhatt,Tushar Hiranandani,Ashwini Dhir",Ashwini Dhir,,"2,87,00,000","15,79,00,000","9,72,00,000",Comedy,"39,58,00,000",Amit Mishra,Pritam,"$820,000",Amita Pathak,Warner Bros Pictures,05-Mar-10,120 min,Ashwini Dhir,1050,Ashwini Dhir,Atithi Tum Kab Jaoge?,"43,31,10,000"
94,Farhan Akhtar,Deepika Padukone,Ram Kapoor,Shefali Shah,Vivan Bhatena,Vipin Sharma,Yatin Karyekar,"20,00,00,000",Vijay Lalwani,Vijay Lalwani,,--,"13,86,00,000",--,Thriller,"24,54,00,000",Javed Akhtar,Shankar - Ehsaan - Loy,"$800,000","Farhan Akhtar,Ritesh Sidhwani",Excel Entertainment,26-Feb-10,135 min,Vijay Lalwani,850,Vijay Lalwani,Karthik Calling Karthik,"28,22,00,000"
95,Shahrukh Khan,Kajol,Jimmy Shergill,Sonya Jehan,Pravin Dabbas,Zarina Wahab,Vinay Pathak,"85,00,00,000",Shibani Bathija,Karan Johar,,"8,16,00,000","46,46,00,000","30,63,00,000",Drama,"99,68,00,000",Niranjan Iyengar,Shankar - Ehsaan - Loy,"$20,100,000","Hiroo Johar,Gauri Khan",Dharma Productions Pvt. Ltd.,12-Feb-10,164 min,Shibani Bathija,1650,"Niranjan Iyengar,Shibani Bathija",My Name Is Khan,"1,93,14,50,000"
96,Naseeruddin Shah,Vidya Balan,Arshad Warsi,Salman Shahid,Adil Hussain,Alok Kumar,Rajesh Sharma,"19,00,00,000","Vishal Bhardwaj,Abhishek Chaubey",Abhishek Chaubey,,"2,49,00,000","14,01,00,000","9,52,00,000",Rom - Com,"30,15,00,000",Gulzar,Vishal Bhardwaj,"$360,000","Vishal Bhardwaj,Raman Maroo",Shemaroo Entertainment,29-Jan-10,149 min,"Abhishek Chaubey,Sabrina Dhawan",600,Vishal Bhardwaj,Ishqiya,"31,81,50,000"
97,Mithun Chakraborty,Salman Khan,Sohail Khan,Zarine Khan,Jackie Shroff,Neena Gupta,Shahbaaz Khan,"63,00,00,000",Shaktimaan,Anil Sharma,,"6,85,00,000","30,34,00,000","19,52,00,000",Action,"51,89,00,000",Gulzar,Sajid - Wajid,"$2,000,000",Vijay Galani,Eros International,22-Jan-10,168 min,Salman Khan,1600,Shaktimaan,Veer,"61,14,00,000"
98,Shahid Kapoor,Genelia D'Souza,Mohnish Bahl,Parikshat Sahni,Vikas Bhalla,Satish Shah,Kurush Deboo,"29,00,00,000","Nupur Asthana,Ken Ghosh,Manu Rishi Chadha",Ken Ghosh,,"1,88,00,000","8,47,00,000","5,88,00,000",Rom - Com,"12,78,00,000",,"Adnan Sami,Pritam","$770,000",Ronnie Screwvala,UTV Motion Pictures,15-Jan-10,158 min,"Nupur Asthana,Manu Rishi Chadha,Ken Ghosh",800,"Kiran Kotrial,Manu Rishi Chadha",Chance Pe Dance,"16,30,27,500"
99,Amitabh Bachchan,Riteish Deshmukh,Paresh Rawal,Mohnish Bahl,Rajat Kapoor,Rajpal Yadav,Gul Panag,"21,00,00,000",Rohit G. Banawlikar,Ram Gopal Verma,,"1,40,00,000","6,77,00,000","4,62,00,000",Drama,"11,17,00,000",,,"$560,000","Sheetal Vinod Talwar,Madhu Mantena Varma",Cinergy,29-Jan-10,137 min,Rohit G. Banawlikar,750,Rohit G. Banawlikar,Rann,"13,76,00,000"
100,Amitabh Bachchan,R. Madhavan,Shraddha Kapoor,Raima Sen,Mahesh Manjrekar,Shakti Kapoor,Tinnu Anand,"18,00,00,000","Leena Yadav,Shiv Subramaniyam",Leena Yadav,,"95,00,000","4,62,00,000","3,26,00,000",Thriller,"6,48,00,000","Asif Ali Beg,Ajinkya Iyer,Irfan Siddique",Salim - Sulaiman,"$250,000",Ambika A Hinduja,Hinduja Ventures,26-Feb-10,142 min,"Leena Yadav,Shiv Subramaniyam",575,"Shiv Subramaniyam,Leena Yadav",Teen Patti,"7,63,00,000"
101,Rajkummar Rao,Nushrat Bharucha,Anshuman Jha,Neha Chauhan,Amit Sial,Arya Devdutta,Herry Tangri,"4,50,00,000","Dibakar Banerjee,Kanu Behl",Dibakar Banerjee,,"1,15,00,000","6,20,00,000","3,97,00,000",Adult,"11,52,00,000","Dibakar Banerjee,Sneha Khanwalkar",Sneha Khanwalkar,$---,"Ekta Kapoor,Priya Sreedharan",ALT Entertainment,19-Mar-10,102 min,"Dibakar Banerjee,Kanu Behl",525,"Dibakar Banerjee,Kanu Behl",Love Sex Aur Dhokha,"11,52,00,000"
102,Nana Patekar,Shahid Kapoor,Ayesha Takia,Sushant Singh,Saurabh Shukla,Anjan Srivastav,Naseer Abdullah,"14,00,00,000",Ahmed Khan,Milind Ukey,,"1,36,00,000","7,52,00,000","4,72,00,000",Drama,"14,94,00,000",Hanif Sheikh,Hanif Sheikh,"$510,000","Ahmed Khan,Shaira Khan",Eros International,16-Apr-10,125 min,Ahmed Khan,500,Hanif Sheikh,Paathshaala,"17,19,67,500"
103,Riteish Deshmukh,Jacqueline Fernandez,Ruslan Mumtaz,Vishal Malhotra,Sonal Sehgal,Satish Shah,Supriya Pilgaonkar,"18,00,00,000",Milap Zaveri,Milap Zaveri,,"60,00,000","3,24,00,000","2,12,00,000",Sci Fi / Fantasy,"5,25,00,000",Sameer,Sajid - Wajid,$---,"Nikhil Advani, Mukesh Talreja",People Tree Films Pvt. Ltd.,09-Apr-10,123 min,Milap Zaveri,425,Milap Zaveri,Jaane Kahan Se Aayi Hai,"5,25,00,000"
104,Shahid Kapoor,Kareena Kapoor,Aarti Chhabria,Kirron Kher,Satish Shah,Himani Shivpuri,Satish Kaushik,"12,00,00,000",Shiraz Ahmed,Satish Kaushik,,"1,21,00,000","5,66,00,000","3,95,00,000",Love Story,"8,98,00,000",Sameer,Himesh Reshammiya,"$775,000",Boney Kapoor,BSK Network And Entertainment,09-Jul-10,123 min,Shiraz Ahmed,775,Shiraz Ahmed,Milenge Milenge,"12,62,25,000"
